,preprocessing_without_emoticons,preprocessing_with_emoticons,class
0,"['woman', 'complain', 'cleaning', 'house', 'man', 'always', 'take', 'trash']","['woman', 'complain', 'cleaning', 'house', 'man', 'always', 'take', 'trash']",2
1,"['boy', 'day', 'cold', 'tea', 'bad', 'coffin', 'dat', 'st', 'place']","['boy', 'day', 'cold', 'tea', 'bad', 'coffin', 'dat', 'st', 'place', '!', '!']",1
2,"['dawn', 'ever', 'fuck', 'bitch', 'start', 'cry', 'confused', 'shit']","['dawn', '!', '!', '!', 'ever', 'fuck', 'bitch', 'start', 'cry', 'confused', 'shit']",1
3,"['look', 'like', 'tranny']","['look', 'like', 'tranny']",1
4,"['shit', 'hear', 'might', 'true', 'might', 'baker', 'bitch', 'told']","['shit', 'hear', 'might', 'true', 'might', 'baker', 'bitch', 'told']",1
5,"['shit', 'blow', 'claim', 'faithful', 'somebody', 'still', 'fucking', 'hoe', 'laugh', 'laugh', 'laugh']","['shit', 'blow', 'claim', 'faithful', 'somebody', 'still', 'fucking', 'hoe', '!', '😂', '😂', '😂']",1
6,"['sit', 'hate', 'another', 'bitch', 'got', 'much', 'shit', 'going']","['sit', 'HATE', 'another', 'bitch', 'got', 'much', 'shit', 'going', '!']",1
7,"['cause', 'tired', 'big', 'bitch', 'coming', 'u', 'skinny', 'girl']","['cause', 'tired', 'big', 'bitch', 'coming', 'u', 'skinny', 'girl', '!', '!']",1
8,"['might', 'get', 'bitch', 'back']","['might', 'get', 'bitch', 'back']",1
9,"['hobby', 'include', 'fighting', 'maria', 'bitch']","['hobby', 'include', 'fighting', 'maria', 'bitch']",1
10,"['week', 'bitch', 'curve', 'everyone', 'walked', 'conversation', 'like']","['week', 'bitch', 'curve', 'everyone', 'walked', 'conversation', 'like']",1
11,"['marya', 'gang', 'bitch', 'gang', 'land']","['marya', 'gang', 'bitch', 'gang', 'land']",1
12,"['hoe', 'smoke', 'loses', 'yea', 'go']","['hoe', 'smoke', 'loses', 'yea', 'go']",1
13,"['bad', 'bitch', 'thing', 'like']","['bad', 'bitch', 'thing', 'like']",1
14,"['bitch', 'get']","['bitch', 'get']",1
15,"['bitch', 'nigga', 'miss']","['bitch', 'nigga', 'miss']",1
16,"['bitch', 'ply', 'whatever']","['bitch', 'ply', 'whatever']",1
17,"['bitch', 'love']","['bitch', 'love']",1
18,"['bitch', 'get', 'cut', 'everyday', 'b']","['bitch', 'get', 'cut', 'everyday', 'b']",1
19,"['black', 'bottle', 'bad', 'bitch']","['black', 'bottle', 'bad', 'bitch']",1
20,"['broke', 'bitch', 'tell', 'nothing']","['broke', 'bitch', 'tell', 'nothing']",1
21,"['cancel', 'bitch', 'like', 'nine']","['cancel', 'bitch', 'like', 'nine']",1
22,"['see', 'hoe', 'wont', 'change']","['see', 'hoe', 'wont', 'change']",1
23,"['fuck', 'bitch', 'dont', 'even', 'suck', 'dick', 'laugh', 'laugh', 'laugh', 'permit', 'video', 'bout', 'fuck']","['fuck', 'bitch', 'dont', 'even', 'suck', 'dick', '😂', '😂', '😂', 'permit', 'video', 'bout', 'fuck']",1
24,"['got', 'bitch', 'tip', 'toying', 'hardihood', 'floor', 'laugh']","['got', 'bitch', 'tip', 'toying', 'hardihood', 'floor', '😂']",1
25,"['pussy', 'lip', 'like', 'heaven', 'door']","['pussy', 'lip', 'like', 'heaven', 'door', '😌']",1
26,['hitting'],['hitting'],1
27,"['met', 'pussy', 'ocean', 'dr', 'gave', 'pussy', 'pill']","['met', 'pussy', 'ocean', 'dr', 'gave', 'pussy', 'pill', '😌']",1
28,"['need', 'tipsy', 'bitch', 'fuck', 'hennessy']","['need', 'tipsy', 'bitch', 'fuck', 'hennessy']",1
29,"['spend', 'money', 'want', 'bitch', 'business']","['spend', 'money', 'want', 'bitch', 'business']",1
