,preprocessing_without_emoticons,preprocessing_with_emoticons,class
0,"['woman', 'complain', 'cleaning', 'house', 'man', 'always', 'take', 'trash']","['woman', 'complain', 'cleaning', 'house', 'man', 'always', 'take', 'trash']",2
1,"['boy', 'dat', 'cold', 'tyga', 'dwn', 'bad', 'cuffin', 'dat', 'hoe', 'st', 'place']","['boy', 'dat', 'cold', 'tyga', 'dwn', 'bad', 'cuffin', 'dat', 'hoe', 'st', 'place', '!', '!']",1
2,"['dawg', 'ever', 'fuck', 'bitch', 'start', 'cry', 'confused', 'shit']","['dawg', '!', '!', '!', 'ever', 'fuck', 'bitch', 'start', 'cry', 'confused', 'shit']",1
3,"['look', 'like', 'tranny']","['look', 'like', 'tranny']",1
4,"['shit', 'hear', 'might', 'true', 'might', 'faker', 'bitch', 'told', 'ya']","['shit', 'hear', 'might', 'true', 'might', 'faker', 'bitch', 'told', 'ya']",1
5,"['shit', 'blow', 'claim', 'faithful', 'somebody', 'still', 'fucking', 'hoe', 'laugh', 'laugh', 'laugh']","['shit', 'blow', 'claim', 'faithful', 'somebody', 'still', 'fucking', 'hoe', '!', '😂', '😂', '😂']",1
6,"['sit', 'hate', 'another', 'bitch', 'got', 'much', 'shit', 'going']","['sit', 'HATE', 'another', 'bitch', 'got', 'much', 'shit', 'going', '!']",1
7,"['cause', 'tired', 'big', 'bitch', 'coming', 'u', 'skinny', 'girl']","['cause', 'tired', 'big', 'bitch', 'coming', 'u', 'skinny', 'girl', '!', '!']",1
8,"['might', 'get', 'ya', 'bitch', 'back', 'thats']","['might', 'get', 'ya', 'bitch', 'back', 'thats']",1
9,"['hobby', 'include', 'fighting', 'mariam', 'bitch']","['hobby', 'include', 'fighting', 'mariam', 'bitch']",1
10,"['keeks', 'bitch', 'curve', 'everyone', 'lol', 'walked', 'conversation', 'like', 'smh']","['keeks', 'bitch', 'curve', 'everyone', 'lol', 'walked', 'conversation', 'like', 'smh']",1
11,"['murda', 'gang', 'bitch', 'gang', 'land']","['murda', 'gang', 'bitch', 'gang', 'land']",1
12,"['hoe', 'smoke', 'loser', 'yea', 'go', 'ig']","['hoe', 'smoke', 'loser', 'yea', 'go', 'IG']",1
13,"['bad', 'bitch', 'thing', 'like']","['bad', 'bitch', 'thing', 'like']",1
14,"['bitch', 'get']","['bitch', 'get']",1
15,"['bitch', 'nigga', 'miss']","['bitch', 'nigga', 'miss']",1
16,"['bitch', 'plz', 'whatever']","['bitch', 'plz', 'whatever']",1
17,"['bitch', 'love']","['bitch', 'love']",1
18,"['bitch', 'get', 'cut', 'everyday', 'b']","['bitch', 'get', 'cut', 'everyday', 'b']",1
19,"['black', 'bottle', 'bad', 'bitch']","['black', 'bottle', 'bad', 'bitch']",1
20,"['broke', 'bitch', 'cant', 'tell', 'nothing']","['broke', 'bitch', 'cant', 'tell', 'nothing']",1
21,"['cancel', 'bitch', 'like', 'nino']","['cancel', 'bitch', 'like', 'nino']",1
